Fecha,Predicciones
6/13/2013,1173.21
6/14/2013,1197.39
6/15/2013,345.39
6/16/2013,2.89
6/17/2013,676.21
6/18/2013,1020.32
6/19/2013,1150.61
6/20/2013,1173.21
6/21/2013,1197.39
6/22/2013,345.39
6/23/2013,2.89
6/24/2013,676.21
6/25/2013,1020.32
6/26/2013,1150.61
6/27/2013,1173.21
6/28/2013,1197.39
6/29/2013,345.39
6/30/2013,2.89
7/1/2013,710.74
7/2/2013,1072.42
7/3/2013,1209.36
7/4/2013,1233.12
7/5/2013,1258.54
7/6/2013,363.03
7/7/2013,3.04
7/8/2013,710.74
7/9/2013,1072.42
7/10/2013,1209.36
7/11/2013,1233.12
7/12/2013,1258.54
7/13/2013,363.03
7/14/2013,3.04
7/15/2013,710.74
7/16/2013,1072.42
7/17/2013,1209.36
7/18/2013,1233.12
7/19/2013,1258.54
7/20/2013,363.03
7/21/2013,3.04
7/22/2013,710.74
7/23/2013,1072.42
7/24/2013,1209.36
7/25/2013,1233.12
7/26/2013,1258.54
7/27/2013,363.03
7/28/2013,3.04
7/29/2013,710.74
7/30/2013,1072.42
7/31/2013,1209.36
8/1/2013,1214.46
8/2/2013,1239.49
8/3/2013,357.53
8/4/2013,2.99
8/5/2013,699.98
8/6/2013,1056.19
8/7/2013,1191.06
8/8/2013,1214.46
8/9/2013,1239.49
8/10/2013,357.53
8/11/2013,2.99
8/12/2013,699.98
8/13/2013,1056.19
8/14/2013,1191.06
8/15/2013,1214.46
8/16/2013,1239.49
8/17/2013,357.53
8/18/2013,2.99
8/19/2013,699.98
8/20/2013,1056.19
8/21/2013,1191.06
8/22/2013,1214.46
8/23/2013,1239.49
8/24/2013,357.53
8/25/2013,2.99
8/26/2013,699.98
8/27/2013,1056.19
8/28/2013,1191.06
8/29/2013,1214.46
8/30/2013,1239.49
8/31/2013,357.53
9/1/2013,3.07
9/2/2013,718.71
9/3/2013,1084.44
9/4/2013,1222.92
9/5/2013,1246.94
9/6/2013,1272.64
9/7/2013,367.10
9/8/2013,3.07
9/9/2013,718.71
9/10/2013,1084.44
9/11/2013,1222.92
9/12/2013,1246.94
9/13/2013,1272.64
9/14/2013,367.10
9/15/2013,3.07
9/16/2013,718.71
9/17/2013,1084.44
9/18/2013,1222.92
9/19/2013,1246.94
9/20/2013,1272.64
9/21/2013,367.10
9/22/2013,3.07
9/23/2013,718.71
9/24/2013,1084.44
9/25/2013,1222.92
9/26/2013,1246.94
9/27/2013,1272.64
9/28/2013,367.10
9/29/2013,3.07
9/30/2013,718.71
10/1/2013,1078.42
10/2/2013,1216.13
10/3/2013,1240.01
10/4/2013,1265.58
10/5/2013,365.06
10/6/2013,3.05
10/7/2013,714.71
10/8/2013,1078.42
10/9/2013,1216.13
10/10/2013,1240.01
10/11/2013,1265.58
10/12/2013,365.06
10/13/2013,3.05
10/14/2013,714.71
10/15/2013,1078.42
10/16/2013,1216.13
10/17/2013,1240.01
10/18/2013,1265.58
10/19/2013,365.06
10/20/2013,3.05
